order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
S03375,113661,2025-05-01 19:00:00,2025-05-01 19:00:00,,,,2025-05-01 19:00:00,Wholesale,Due on Ship,,[],0.0,1987.5
S03387,115707,2025-05-01 20:00:00,2025-05-01 20:00:00,,,,2025-05-01 20:00:00,Wholesale,Due on Ship,,[],0.0,3430.0
S03387,115706,2025-05-01 20:00:00,2025-05-01 20:00:00,,,,2025-05-01 20:00:00,Wholesale,Due on Ship,,[],0.0,3430.0
S03455,118229,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-01 21:00:00,Wholesale,Due on Ship,,[],0.0,3258.16
S03409,115591,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-01 21:00:00,Wholesale,Due on Ship,,[],0.0,3787.95
S03413,115587,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-01 21:00:00,Wholesale,Due on Ship,,[],0.0,1085.0
S03620,115196,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-01 21:00:00,Wholesale,Due on Ship,,[],0.0,636.21
S03530,113911,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-31 21:00:00,Wholesale,30 Days,,[],0.0,7894.8
S03447,113810,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-01 21:00:00,Wholesale,Due on Ship,,[],0.0,649.45
S03455,113806,2025-05-01 21:00:00,2025-05-01 21:00:00,,,,2025-05-01 21:00:00,Wholesale,Due on Ship,,[],0.0,3258.16
#BGFDQZQE27,133307,2025-05-02 07:00:00,2025-05-02 07:00:00,,,,2025-06-01 07:00:00,Faire,30 Days,,[],0.0,107.89
#57RKAHPYMZ,130160,2025-05-03 00:00:00,2025-05-03 00:00:00,,,,2025-06-02 00:00:00,Faire,30 Days,,[],0.0,12.24
S03682,117021,2025-05-03 00:00:00,2025-05-03 00:00:00,,,,2025-06-02 00:00:00,Wholesale,Net 30,,[],0.0,0.0
S03680,117010,2025-05-03 00:00:00,2025-05-03 00:00:00,,,,2025-06-02 00:00:00,Wholesale,Net 30,,[],0.0,0.0
S03271,108670,2025-05-03 00:00:00,2025-05-03 00:00:00,,,,2025-06-02 00:00:00,Wholesale,30 Days,,[],0.0,652.0
#9SX7NUCSZF,115983,2025-05-05 12:39:36,2025-05-05 12:39:36,,,,2025-06-04 12:39:36,Faire,30 Days,,[],0.0,2773.86
#NRE67XBSDA,133662,2025-05-05 12:59:59,2025-05-05 12:59:59,,,,2025-06-04 12:59:59,Faire,30 Days,,[],0.0,44.05
#MGEMJ9DNW6,133320,2025-05-05 12:59:59,2025-05-05 12:59:59,,,,2025-06-04 12:59:59,Faire,30 Days,,[],0.0,37.16
#D836Y64D8E,133038,2025-05-05 12:59:59,2025-05-05 12:59:59,,,,2025-06-04 12:59:59,Faire,30 Days,,[],0.0,18.43
#GQ5GGVFDYY,133036,2025-05-05 12:59:59,2025-05-05 12:59:59,,,,2025-06-04 12:59:59,Faire,30 Days,,[],0.0,37.16
#HX2G6Q36HW,131176,2025-05-05 12:59:59,2025-05-05 12:59:59,,,,2025-06-04 12:59:59,Faire,30 Days,,[],0.0,18.43
S03842,121237,2025-05-05 17:00:00,2025-05-05 17:00:00,,,,2025-05-05 17:00:00,,,,[],0.0,
S03291,132865,2025-05-06 01:00:00,2025-05-06 01:00:00,,,,2025-05-06 01:00:00,Wholesale,Due on Ship,,[],0.0,4111.15
S03290,132158,2025-05-06 01:00:00,2025-05-06 01:00:00,,,,2025-05-06 01:00:00,Wholesale,Due on Ship,,[],0.0,1242.66
S03291,116715,2025-05-06 01:00:00,2025-05-06 01:00:00,,,,2025-05-06 01:00:00,Wholesale,Due on Ship,,[],0.0,4111.15
S03290,115756,2025-05-06 01:00:00,2025-05-06 01:00:00,,,,2025-05-06 01:00:00,Wholesale,Due on Ship,,[],0.0,1242.66
S03291,115755,2025-05-06 01:00:00,2025-05-06 01:00:00,,,,2025-05-06 01:00:00,Wholesale,Due on Ship,,[],0.0,4111.15
S04287,137046,2025-05-07 20:00:00,2025-05-07 20:00:00,,,,2025-06-06 20:00:00,Wholesale,30 Days,,[],0.0,488.0
#823T6UPQ7B,132291,2025-05-09 07:00:00,2025-05-09 07:00:00,,,,2025-06-08 07:00:00,Faire,30 Days,,[],0.0,125.37
#HEQ3JC8SK9,136753,2025-05-09 12:59:59,2025-05-09 12:59:59,,,,2025-06-08 12:59:59,Faire,30 Days,,[],0.0,98.13
